Add_3-volume,Add_4-volume,Stir_6-time,Add_7-volume,Add_10-volume,HeatChillToTemp_12-temp,Stir_13-time,spectrum_peak-area_-114.3
1.0,0.22,600.0,1.0,0.23,20.0,64800.0,0.3997
4.89,0.41,732.23,1.01,0.77,20.0,20999.27,0.3513
0.63,0.49,1226.77,0.93,0.69,20.0,11612.19,0.3596
0.08,0.23,1501.71,2.29,0.48,50.34,26902.12,0.2097
2.17,0.44,1394.91,0.77,0.96,27.24,62775.59,0.2513
1.82,0.37,1583.79,2.94,0.74,28.65,44660.21,0.3332
2.17,0.43,1182.48,0.56,0.39,28.83,32768.74,0.1688
1.68,0.98,642.7,2.15,0.81,31.01,42750.15,0.2557
1.34,0.53,179.28,2.28,0.34,37.38,55827.88,0.4
5.0,1.0,1800.0,0.5,1.0,25.0,7200.0,0.0
4.33,0.67,1453.24,0.51,0.43,25.89,54755.64,0.0
0.53,0.37,139.83,1.56,0.11,42.38,13629.76,0.2327
0.87,0.25,1342.07,2.22,0.3,56.59,16607.29,0.2652
5.0,0.1,0.0,3.0,0.1,60.0,64800.0,0.0
1.21,0.34,226.62,1.66,0.46,52.66,13751.27,0.3467
3.18,0.39,1171.8,2.18,0.26,52.13,52989.08,0.3723
0.45,0.32,534.94,0.96,0.57,27.51,60105.29,0.2906
1.0,0.41,1478.19,0.93,0.47,49.16,27644.73,0.2656
5.0,0.26,438.42,0.53,1.0,60.0,49493.84,0.2134
3.51,0.42,28.88,1.87,1.0,60.0,16979.32,0.5124
0.0,0.97,184.89,2.65,0.79,25.0,54012.88,0.2309
0.0,1.0,0.0,3.0,0.1,25.0,64800.0,0.2011
0.0,1.0,0.0,3.0,0.1,25.0,64800.0,0.2048
5.0,0.29,1044.02,1.96,0.46,52.69,52023.27,0.4144
0.0,0.15,1137.27,1.1,0.23,25.0,40311.72,0.0
5.0,0.44,1484.39,2.12,1.0,50.48,11831.81,0.5019
5.0,0.46,967.27,3.0,0.1,26.78,8526.74,0.2113
5.0,0.49,1138.17,1.76,1.0,57.38,31964.02,0.5035
5.0,0.45,920.79,1.84,1.0,44.33,22422.12,0.5059
5.0,0.43,657.43,1.94,1.0,55.74,16045.76,0.5506
4.33,0.42,1245.2,1.89,1.0,41.11,15034.47,0.5408
