Add_3-volume,Add_4-volume,Stir_6-time,Add_7-volume,Add_10-volume,HeatChillToTemp_12-temp,Stir_13-time,spectrum_peak-area_-114.3
1.0,0.22,600.0,1.0,0.23,25.0,64800.0,0.399689874875663
4.888999999999999,0.4108,732.2274,1.0111,0.7671,25.0,20999.2748,0.3513497379180396
0.6286,0.4916,1226.767,0.9278,0.6894,25.0,11612.1874,0.3595531804694121
0.0779,0.2321,1501.7089999999998,2.2948,0.4812,50.3429,26902.12,0.2096521021359783
2.1672,0.4311,1182.4828,0.5561,0.3903,28.8289,32768.7389,0.1688370895123065
1.6792,0.9807,642.6965,2.1528,0.8076,31.0098,42750.1484,0.2556795863601345
1.335,0.5253,179.2833,2.2836,0.3406,37.3819,55827.88,0.3999663028668722
5.0,1.0,1800.0,0.5,1.0,25.0,7200.0,0.0
2.1747,0.4446,1394.9068,0.7658,0.9636,27.2394,62775.5901,0.2512585702666721
4.3267,0.6739,1453.2427,0.5077,0.4305,25.8922,54755.6437,0.0
0.5335,0.3698,139.8298,1.5638,0.1128,42.3823,13629.7586,0.2326565930632459
0.8666,0.2479,1342.073,2.2172,0.2977,56.5949,16607.2914,0.2652079509924757
5.0,0.1,0.0,3.0,0.1,60.0,64800.0,0.0
1.8236,0.3679,1583.7926,2.9436,0.7402,28.6531,44660.2086,0.3331824441907423
1.2131,0.3393,226.6194,1.6586,0.4576,52.659,13751.2726,0.3467138827246284
3.1762,0.3888,1171.8043,2.1821,0.2581,52.1271,52989.0832,0.3722787974309572
0.451,0.3186,534.9386,0.9632,0.5712,27.5098,60105.287,0.2905616448725477
0.9954,0.4088,1478.1858,0.9299,0.4659,49.1632,27644.7328,0.2656064144565422
0.0,0.9739,184.8948,2.6525,0.7913,25.0,54012.8756,0.2309296345959743
0.0,1.0,0.0,3.0,0.1,25.0,64800.0,0.2011116733975631
0.0,1.0,0.0,3.0,0.1,25.0,64800.0,0.2047864933813241
