Add_1-volume,Add_2-volume,Add_3-volume,Add_4-volume,Add_5-volume,HeatChillToTemp_7-temp,Add_8-volume,Add_10-volume,Stir_12-time,Add_14-volume,Stir_16-time,spectrum_integration-area_-76.455..-77.09
0.2,0.23,0.16,0.3,5.0,22.0,0.9,0.4,300.0,6.0,300.0,2156.9608855089123
0.23,0.16,0.2,0.31,0.94,48.78,1.17,0.67,2567.61,5.6,1523.63,5310.159059055835
0.28,0.24,0.19,0.2,2.27,27.73,0.43,0.7,11480.46,8.06,1469.94,3059.4891592574204
0.29,0.33,0.18,0.09,4.67,2.19,0.52,0.61,13482.29,9.74,1375.22,1531.9731254775945
0.11,0.17,0.04,0.06,4.76,11.35,1.07,0.46,15038.4,7.6,1330.81,10657.209257619132
0.17,0.11,0.01,0.0,2.15,20.43,1.26,0.34,1331.96,4.25,1268.86,12790.930786221756
0.2,0.21,0.18,0.0,4.06,40.7,0.54,0.21,1893.85,7.78,1824.19,750.4094027446729
0.05,0.19,0.04,0.0,4.46,19.05,0.68,0.58,6704.08,2.7,689.42,2445.8702141982744
0.29,0.34,0.16,0.0,9.69,38.94,1.12,0.47,5118.68,2.77,3278.59,6595.056804275095
0.19,0.03,0.1,0.02,4.94,16.49,0.51,0.26,10701.31,3.36,3352.9,1484.9103950824554
0.17,0.13,0.14,0.01,9.59,24.12,1.19,0.25,8913.85,5.93,3394.83,2533.3095425446045
0.03,0.25,0.06,0.3,7.27,38.43,0.47,0.75,4374.79,2.3,2131.01,1047.4876178473187
0.03,0.28,0.06,0.42,2.41,6.14,1.24,0.29,3473.05,6.8,3186.05,5017.954302957345
0.06,0.11,0.18,0.44,5.01,7.19,0.37,0.34,2633.25,7.42,702.05,633.9078431146181
0.15,0.26,0.13,0.09,8.04,35.77,1.14,0.28,2490.44,9.42,1612.01,2278.913989870172
0.09,0.18,0.15,0.43,2.86,46.24,0.39,0.53,11521.36,2.85,763.12,305.13644849015293
0.3,0.0,0.0,0.45,10.0,50.0,1.42,0.2,18000.0,10.0,3600.0,6577.979150087169
0.0,0.0,0.23,0.0,0.0,50.0,0.36,0.8,18000.0,2.0,300.0,1406.403129347299
0.0,0.37,0.23,0.45,10.0,0.0,0.36,0.2,300.0,10.0,300.0,1059.1892802319985
0.0,0.0,0.0,0.0,10.0,50.0,1.42,0.8,18000.0,10.0,3600.0,4217.025245320318
0.3,0.37,0.0,0.0,0.0,0.0,1.42,0.8,300.0,2.0,300.0,11197.092248878447
0.3,0.0,0.23,0.45,10.0,0.0,1.42,0.2,18000.0,2.0,3600.0,1676.1955119581658
0.197,0.0,0.0,0.45,0.0,50.0,0.36,0.8,300.0,10.0,3600.0,4279.832571573839
0.0909,0.37,0.23,0.0,0.0,0.0,1.42,0.8,300.0,10.0,3600.0,6043.163384905038
0.0,0.37,0.23,0.0,0.0,50.0,1.42,0.2,300.0,2.0,3600.0,84.91580749802506
0.0,0.0,0.0,0.45,10.0,50.0,0.36,0.2,18000.0,2.0,300.0,11015.662531715447
0.3,0.37,0.0,0.0,0.0,50.0,1.42,0.8,300.0,2.0,300.0,2305.8148926800304
0.3,0.0,0.0,0.45,10.0,0.0,0.523,0.8,300.0,2.0,3600.0,1785.2797067278834
0.3,0.37,0.0,0.45,0.0,0.0,1.42,0.2,300.0,2.0,300.0,5995.203214116498
0.0,0.0,0.0,0.45,0.0,50.0,0.36,0.2,18000.0,10.0,300.0,2230.6266007355835
0.0,0.0,0.23,0.4002,10.0,37.2122,1.42,0.2,300.0,10.0,3600.0,4464.599120070562
0.0355,0.0,0.23,0.3224,10.0,37.5376,1.4181,0.2,3712.5638,8.9364,2773.0213,161.28904869371536
0.0341,0.0,0.23,0.0241,9.8826,45.0465,1.1731,0.6025,11466.9212,5.7397,740.7195,1143.3459567358132
0.0732,0.0,0.23,0.439,3.1068,43.6678,1.379,0.3692,11701.8315,6.6811,3314.4833,7176.444201056905
0.0456,0.0,0.23,0.1933,9.2305,37.3636,0.9008,0.4893,14535.0855,5.4645,680.3611,246.2882153226854
0.0139,0.37,0.23,0.0696,10.0,0.0,0.36,0.3446,2627.2231,6.9285,1248.7142,679.1917034264272
