Add_1-volume,Add_2-volume,Add_3-volume,Add_4-volume,Add_5-volume,HeatChillToTemp_7-temp,Add_8-volume,Add_10-volume,Stir_12-time,Add_14-volume,Stir_16-time,novelty
0.2,0.23,0.16,0.3,5,22,0.9,0.4,300,6,300,37.46672987
0.23,0.16,0.2,0.31,0.94,48.78,1.17,0.67,2567.61,5.6,1523.63,101.2157216
0.28,0.24,0.19,0.2,2.27,27.73,0.43,0.7,11480.46,8.06,1469.94,326.7772147
0.28,0.24,0.19,0.2,2.27,27.73,0.43,0.7,11480.46,8.06,1469.94,320.862521
0.29,0.33,0.18,0.09,4.67,2.19,0.52,0.61,13482.29,9.74,1375.22,136.3004238
0.11,0.17,0.04,0.06,4.76,11.35,1.07,0.46,15038.4,7.6,1330.81,161.7512519
0.25,0.3,0.09,0.13,6.82,6.99,0.57,0.2,14228.56,7.32,2627.05,14.90955895
0.23,0.17,0.13,0.06,1.15,33.42,0.86,0.54,13840.48,7.08,2126.81,403.1660077
0.17,0.11,0.01,0,2.15,20.43,1.26,0.34,1331.96,4.25,1268.86,195.5417804
0.2,0.21,0.18,0,4.06,40.7,0.54,0.21,1893.85,7.78,1824.19,46.23846276
0.05,0.19,0.04,0,4.46,19.05,0.68,0.58,6704.08,2.7,689.42,106.7045286
0.29,0.34,0.16,0,9.69,38.94,1.12,0.47,5118.68,2.77,3278.59,941.5194456
0.14,0.07,0.07,0.26,1.77,42.83,1.16,0.63,7948.05,7.02,2227.52,696.8209876
0.19,0.03,0.1,0.02,4.94,16.49,0.51,0.26,10701.31,3.36,3352.9,76.38961675
0.17,0.13,0.14,0.01,9.59,24.12,1.19,0.25,8913.85,5.93,3394.83,9.404741878
0.17,0.18,0.06,0.15,5.21,21.95,0.38,0.7,16162.05,3.12,2128.32,683.0146167
0.03,0.25,0.06,0.3,7.27,38.43,0.47,0.75,4374.79,2.3,2131.01,500.5825065
0.11,0.31,0.19,0.14,9.53,14.55,0.91,0.35,16867.97,3.32,448.21,325.9073528
0.13,0.37,0.21,0.34,8.91,44.67,0.91,0.39,13964.62,7.29,1533.07,512.4884907
0.03,0.25,0.06,0.3,7.27,38.43,0.47,0.75,4374.79,2.3,2131.01,90.09606977
0.11,0.31,0.19,0.14,9.53,14.55,0.91,0.35,16867.97,3.32,448.21,395.0251839
0.13,0.37,0.21,0.34,8.91,44.67,0.91,0.39,13964.62,7.29,1533.07,89.31240273
0.03,0.28,0.06,0.42,2.41,6.14,1.24,0.29,3473.05,6.8,3186.05,42.71451163
0.06,0.11,0.18,0.44,5.01,7.19,0.37,0.34,2633.25,7.42,702.05,193.0419028
0.15,0.26,0.13,0.09,8.04,35.77,1.14,0.28,2490.44,9.42,1612.01,33.74984441
0.09,0.18,0.15,0.43,2.86,46.24,0.39,0.53,11521.36,2.85,763.12,353.2058807
