Add_1-volume,Add_2-volume,Add_3-volume,Add_4-volume,Add_5-volume,HeatChillToTemp_7-temp,Add_8-volume,Add_10-volume,Stir_12-time,Add_14-volume,Stir_16-time,novelty
0.2000,0.2300,0.1600,0.3000,5.0000,22.0000,0.9000,0.4000,300.0000,6.0000,300.0000,10.0000
0.2300,0.1600,0.2000,0.3100,0.9400,48.7800,1.1700,0.6700,2567.6100,5.6000,1523.6300,10.0000
0.2800,0.2400,0.1900,0.2000,2.2700,27.7300,0.4300,0.7000,11480.4600,8.0600,1469.9400,10.0000
0.2800,0.2400,0.1900,0.2000,2.2700,27.7300,0.4300,0.7000,11480.4600,8.0600,1469.9400,9.0000
0.2900,0.3300,0.1800,0.0900,4.6700,2.1900,0.5200,0.6100,13482.2900,9.7400,1375.2200,9.0000
0.1100,0.1700,0.0400,0.0600,4.7600,11.3500,1.0700,0.4600,15038.4000,7.6000,1330.8100,5.0000
0.2500,0.3000,0.0900,0.1300,6.8200,6.9900,0.5700,0.2000,14228.5600,7.3200,2627.0500,4.0000
0.2300,0.1700,0.1300,0.0600,1.1500,33.4200,0.8600,0.5400,13840.4800,7.0800,2126.8100,9.0000
0.1700,0.1100,0.0100,0.2000,2.1500,20.4300,1.2600,0.3400,1331.9600,4.2500,1268.8600,13.0000
0.2000,0.2100,0.1800,0.3000,4.0600,40.7000,0.5400,0.2100,1893.8500,7.7800,1824.1900,6.0000
0.0500,0.1900,0.0400,0.3100,4.4600,19.0500,0.6800,0.5800,6704.0800,2.7000,689.4200,8.0000
0.2900,0.3400,0.1600,0.1200,9.6900,38.9400,1.1200,0.4700,5118.6800,2.7700,3278.5900,6.0000
0.1400,0.0700,0.0700,0.2600,1.7700,42.8300,1.1600,0.6300,7948.0500,7.0200,2227.5200,10.0000
0.1900,0.0300,0.1000,0.0200,4.9400,16.4900,0.5100,0.2600,10701.3100,3.3600,3352.9000,8.0000
0.1700,0.1300,0.1400,0.0100,9.5900,24.1200,1.1900,0.2500,8913.8500,5.9300,3394.8300,9.0000
0.1700,0.1800,0.0600,0.1500,5.2100,21.9500,0.3800,0.7000,16162.0500,3.1200,2128.3200,8.0000
0.0300,0.2500,0.0600,0.3000,7.2700,38.4300,0.4700,0.7500,4374.7900,2.3000,2131.0100,9.0000
0.1100,0.3100,0.1900,0.1400,9.5300,14.5500,0.9100,0.3500,16867.9700,3.3200,448.2100,10.0000
0.1300,0.3700,0.2100,0.3400,8.9100,44.6700,0.9100,0.3900,13964.6200,7.2900,1533.0700,7.0000
