,times,temps
0,13:45:37,42.9
1,13:45:39,42.8
2,13:45:40,42.8
3,13:45:42,42.8
4,13:45:43,42.8
5,13:45:45,42.7
6,13:45:47,42.7
7,13:45:48,42.7
8,13:45:50,42.7
9,13:45:52,42.6
10,13:45:53,42.6
11,13:45:55,42.6
12,13:45:56,42.5
13,13:45:58,42.5
14,13:46:00,42.5
15,13:46:01,42.5
16,13:46:03,42.4
17,13:46:05,42.4
18,13:46:06,42.4
19,13:46:08,42.4
20,13:46:09,42.3
21,13:46:11,42.3
22,13:46:13,42.3
23,13:46:14,42.3
24,13:46:16,42.2
25,13:46:18,42.2
26,13:46:19,42.2
27,13:46:21,42.2
28,13:46:22,42.2
29,13:46:24,42.1
30,13:46:26,42.1
31,13:46:27,42.1
32,13:46:29,42.1
33,13:46:31,42.0
34,13:46:32,42.0
35,13:46:34,42.0
36,13:46:35,42.0
37,13:46:37,41.9
38,13:46:39,41.9
39,13:46:40,41.9
40,13:46:42,41.9
41,13:46:44,41.9
42,13:46:45,41.8
43,13:46:47,41.8
44,13:46:48,41.8
45,13:46:50,41.8
46,13:46:52,41.7
47,13:46:53,41.7
48,13:46:55,41.7
49,13:46:57,41.7
50,13:46:58,41.6
51,13:47:00,41.6
52,13:47:01,41.6
53,13:47:03,41.6
54,13:47:05,41.5
55,13:47:06,41.5
56,13:47:08,41.5
57,13:47:10,41.5
58,13:47:11,41.4
59,13:47:13,41.4
60,13:47:14,41.4
61,13:47:16,41.4
62,13:47:18,41.3
63,13:47:19,41.3
64,13:47:21,41.3
65,13:47:23,41.3
66,13:47:24,41.3
67,13:47:26,41.2
68,13:47:27,41.2
69,13:47:29,41.2
70,13:47:31,41.2
71,13:47:32,41.1
72,13:47:34,41.1
73,13:47:36,41.1
74,13:47:37,41.1
75,13:47:39,41.0
76,13:47:40,41.0
77,13:47:42,41.0
78,13:47:44,41.0
79,13:47:45,40.9
80,13:47:47,40.9
81,13:47:49,40.9
82,13:47:50,40.9
83,13:47:52,40.8
84,13:47:53,40.8
85,13:47:55,40.8
86,13:47:57,40.8
87,13:47:58,40.8
88,13:48:00,40.7
89,13:48:02,40.7
90,13:48:03,40.7
91,13:48:05,40.7
92,13:48:07,40.6
93,13:48:08,40.6
94,13:48:10,40.6
95,13:48:11,40.6
96,13:48:13,40.5
97,13:48:15,40.5
98,13:48:16,40.5
99,13:48:18,40.5
100,13:48:20,40.4
101,13:48:21,40.4
102,13:48:23,40.4
103,13:48:24,40.4
104,13:48:26,40.4
105,13:48:28,40.3
106,13:48:29,40.3
107,13:48:31,40.3
108,13:48:33,40.3
109,13:48:34,40.2
110,13:48:36,40.2
111,13:48:37,40.2
112,13:48:39,40.2
113,13:48:41,40.1
114,13:48:42,40.1
115,13:48:44,40.1
116,13:48:46,40.1
117,13:48:47,40.1
118,13:48:49,40.0
119,13:48:50,40.0
120,13:48:52,40.0
121,13:48:54,40.0
122,13:48:55,39.9
123,13:48:57,39.9
124,13:48:59,39.9
125,13:49:00,39.9
126,13:49:02,39.9
127,13:49:04,39.8
128,13:49:05,39.8
129,13:49:07,39.8
130,13:49:08,39.8
131,13:49:10,39.7
132,13:49:12,39.7
133,13:49:13,39.7
134,13:49:15,39.7
135,13:49:17,39.6
136,13:49:18,39.6
137,13:49:20,39.6
138,13:49:21,39.6
139,13:49:23,39.6
140,13:49:25,39.5
141,13:49:26,39.5
142,13:49:28,39.5
143,13:49:30,39.5
144,13:49:31,39.4
145,13:49:33,39.4
146,13:49:34,39.4
147,13:49:36,39.4
148,13:49:38,39.4
149,13:49:39,39.3
150,13:49:41,39.3
151,13:49:43,39.3
152,13:49:44,39.3
153,13:49:46,39.3
154,13:49:47,39.2
155,13:49:49,39.2
156,13:49:51,39.2
157,13:49:52,39.2
158,13:49:54,39.2
159,13:49:56,39.1
160,13:49:57,39.1
161,13:49:59,39.1
162,13:50:00,39.1
163,13:50:02,39.0
164,13:50:04,39.0
165,13:50:05,39.0
166,13:50:07,39.0
167,13:50:09,39.0
168,13:50:10,38.9
169,13:50:12,38.9
170,13:50:13,38.9
171,13:50:15,38.9
172,13:50:17,38.9
173,13:50:18,38.8
174,13:50:20,38.8
175,13:50:22,38.8
176,13:50:23,38.8
177,13:50:25,38.7
178,13:50:26,38.7
179,13:50:28,38.7
180,13:50:30,38.7
181,13:50:31,38.6
182,13:50:33,38.6
183,13:50:35,38.6
184,13:50:36,38.6
185,13:50:38,38.6
186,13:50:39,38.5
187,13:50:41,38.5
188,13:50:43,38.5
189,13:50:44,38.5
190,13:50:46,38.5
191,13:50:48,38.4
192,13:50:49,38.4
193,13:50:51,38.4
194,13:50:52,38.4
195,13:50:54,38.3
196,13:50:56,38.3
197,13:50:57,38.3
198,13:50:59,38.3
199,13:51:01,38.3
200,13:51:02,38.2
201,13:51:04,38.2
202,13:51:05,38.2
203,13:51:07,38.2
204,13:51:09,38.1
205,13:51:10,38.1
206,13:51:12,38.1
207,13:51:14,38.1
208,13:51:15,38.1
209,13:51:17,38.0
210,13:51:18,38.0
211,13:51:20,38.0
212,13:51:22,38.0
213,13:51:23,37.9
214,13:51:25,37.9
215,13:51:27,37.9
216,13:51:28,37.9
217,13:51:30,37.9
218,13:51:31,37.8
219,13:51:33,37.8
220,13:51:35,37.8
221,13:51:36,37.8
222,13:51:38,37.8
223,13:51:40,37.7
224,13:51:41,37.7
225,13:51:43,37.7
226,13:51:44,37.7
227,13:51:46,37.7
228,13:51:48,37.6
229,13:51:49,37.6
230,13:51:51,37.6
231,13:51:53,37.6
232,13:51:54,37.5
233,13:51:56,37.5
234,13:51:58,37.5
235,13:51:59,37.5
236,13:52:01,37.5
237,13:52:02,37.4
238,13:52:04,37.4
239,13:52:06,37.4
240,13:52:07,37.4
241,13:52:09,37.4
242,13:52:11,37.3
243,13:52:12,37.3
244,13:52:14,37.3
245,13:52:15,37.3
246,13:52:17,37.3
247,13:52:19,37.2
248,13:52:20,37.2
249,13:52:22,37.2
250,13:52:24,37.2
251,13:52:25,37.2
252,13:52:27,37.1
253,13:52:29,37.1
254,13:52:30,37.1
255,13:52:32,37.1
256,13:52:33,37.1
257,13:52:35,37.0
258,13:52:37,37.0
259,13:52:38,37.0
260,13:52:40,37.0
261,13:52:42,37.0
262,13:52:43,36.9
263,13:52:45,36.9
264,13:52:47,36.9
265,13:52:48,36.9
266,13:52:50,36.9
267,13:52:52,36.8
268,13:52:53,36.8
269,13:52:55,36.8
270,13:52:56,36.8
271,13:52:58,36.8
272,13:53:00,36.8
273,13:53:01,36.7
274,13:53:03,36.7
275,13:53:05,36.7
276,13:53:06,36.7
277,13:53:08,36.7
278,13:53:10,36.6
279,13:53:11,36.6
280,13:53:13,36.6
281,13:53:15,36.6
282,13:53:16,36.6
283,13:53:18,36.6
284,13:53:19,36.5
285,13:53:21,36.5
286,13:53:23,36.5
287,13:53:24,36.5
288,13:53:26,36.5
289,13:53:28,36.5
290,13:53:29,36.4
291,13:53:31,36.4
292,13:53:33,36.4
293,13:53:34,36.4
294,13:53:36,36.4
295,13:53:37,36.3
296,13:53:39,36.3
297,13:53:41,36.3
298,13:53:42,36.3
299,13:53:44,36.3
300,13:53:46,36.3
301,13:53:47,36.2
302,13:53:49,36.2
303,13:53:51,36.2
304,13:53:52,36.2
305,13:53:54,36.2
306,13:53:55,36.1
307,13:53:57,36.1
308,13:53:59,36.1
309,13:54:00,36.1
310,13:54:02,36.1
311,13:54:04,36.1
312,13:54:05,36.0
313,13:54:07,36.0
314,13:54:08,36.0
315,13:54:10,36.0
316,13:54:12,36.0
317,13:54:13,35.9
318,13:54:15,35.9
319,13:54:17,35.9
320,13:54:18,35.9
321,13:54:20,35.9
322,13:54:22,35.8
323,13:54:23,35.8
324,13:54:25,35.8
325,13:54:26,35.8
326,13:54:28,35.8
327,13:54:30,35.8
328,13:54:31,35.7
329,13:54:33,35.7
330,13:54:35,35.7
331,13:54:36,35.7
332,13:54:38,35.7
333,13:54:39,35.6
334,13:54:41,35.6
335,13:54:43,35.6
336,13:54:44,35.6
337,13:54:46,35.6
338,13:54:48,35.6
339,13:54:49,35.5
340,13:54:51,35.5
341,13:54:52,35.5
342,13:54:54,35.5
343,13:54:56,35.5
344,13:54:57,35.5
345,13:54:59,35.4
346,13:55:01,35.4
347,13:55:02,35.4
348,13:55:04,35.4
349,13:55:05,35.4
350,13:55:07,35.3
351,13:55:09,35.3
352,13:55:10,35.3
353,13:55:12,35.3
354,13:55:14,35.3
355,13:55:15,35.3
356,13:55:17,35.2
357,13:55:18,35.2
358,13:55:20,35.2
359,13:55:22,35.2
360,13:55:23,35.2
361,13:55:25,35.1
362,13:55:27,35.1
363,13:55:28,35.1
364,13:55:30,35.1
365,13:55:31,35.1
366,13:55:33,35.1
367,13:55:35,35.0
368,13:55:36,35.0
369,13:55:38,35.0
370,13:55:40,35.0
371,13:55:41,35.0
372,13:55:43,35.0
373,13:55:44,34.9
374,13:55:46,34.9
375,13:55:48,34.9
376,13:55:49,34.9
377,13:55:51,34.9
378,13:55:53,34.9
379,13:55:54,34.8
380,13:55:56,34.8
381,13:55:57,34.8
382,13:55:59,34.8
383,13:56:01,34.8
384,13:56:02,34.7
385,13:56:04,34.7
386,13:56:06,34.7
387,13:56:07,34.7
388,13:56:09,34.7
389,13:56:10,34.7
390,13:56:12,34.7
391,13:56:14,34.6
392,13:56:15,34.6
393,13:56:17,34.6
394,13:56:19,34.6
395,13:56:20,34.6
396,13:56:22,34.6
397,13:56:23,34.5
398,13:56:25,34.5
399,13:56:27,34.5
400,13:56:28,34.5
401,13:56:30,34.5
402,13:56:32,34.5
403,13:56:33,34.4
404,13:56:35,34.4
405,13:56:36,34.4
406,13:56:38,34.4
407,13:56:40,34.4
408,13:56:41,34.4
409,13:56:43,34.3
410,13:56:45,34.3
411,13:56:46,34.3
412,13:56:48,34.3
413,13:56:49,34.3
414,13:56:51,34.3
415,13:56:53,34.3
416,13:56:54,34.2
417,13:56:56,34.2
418,13:56:58,34.2
419,13:56:59,34.2
420,13:57:01,34.2
421,13:57:02,34.2
422,13:57:04,34.2
423,13:57:06,34.1
424,13:57:07,34.1
425,13:57:09,34.1
426,13:57:11,34.1
427,13:57:12,34.1
428,13:57:14,34.1
429,13:57:15,34.1
430,13:57:17,34.1
431,13:57:19,34.0
432,13:57:20,34.0
433,13:57:22,34.0
434,13:57:24,34.0
435,13:57:25,34.0
436,13:57:27,34.0
437,13:57:28,34.0
438,13:57:30,33.9
439,13:57:32,33.9
440,13:57:33,33.9
441,13:57:35,33.9
442,13:57:37,33.9
443,13:57:38,33.9
444,13:57:40,33.9
445,13:57:41,33.8
446,13:57:43,33.8
447,13:57:45,33.8
448,13:57:46,33.8
449,13:57:48,33.8
450,13:57:50,33.8
451,13:57:51,33.8
452,13:57:53,33.7
453,13:57:54,33.7
454,13:57:56,33.7
455,13:57:58,33.7
456,13:57:59,33.7
457,13:58:01,33.7
458,13:58:03,33.7
459,13:58:04,33.6
460,13:58:06,33.6
461,13:58:08,33.6
462,13:58:09,33.6
463,13:58:11,33.6
464,13:58:12,33.6
465,13:58:14,33.6
466,13:58:16,33.6
467,13:58:17,33.5
468,13:58:19,33.5
469,13:58:21,33.5
470,13:58:22,33.5
471,13:58:24,33.5
472,13:58:25,33.5
473,13:58:27,33.5
474,13:58:29,33.4
475,13:58:30,33.4
476,13:58:32,33.4
477,13:58:33,33.4
